Mix_ID,PCC_%,Age_days,Sample_No,Weight_lb,Avg_Length_in,Avg_Diameter_in,Area_in2,Max_Load_lbf,Max_Stress_psi,Strength_MPa,Water_lbs,Cement_lbs,FineAgg_lbs,CoarseAgg_lbs,PCC_lbs,WaterCement_Ratio,TotalAgg_lbs,FineCoarse_Ratio,TotalMix_lbs,PCC_Fraction,PCC_Cement_Ratio,Cylinder_Volume_in3,Density_lb_per_in3
Normal Concrete,0,1,1,8.147,7.985,4.007,12.6103913960194,19497.016,1545.272,10.6542753870329,56.408,129.184,150.656,304.436,0.0,0.436648501362398,455.092,0.494869200751554,640.684,0.0,0.0,100.693975297215,0.0809085148932969
0% PCC,0,1,1,8.449,8.14,4.006,12.61,30120.6,2389.46,16.4747467541634,41.024,93.952,109.568,221.408,0.0,0.436648501362398,330.976,0.494869200751554,465.952,0.0,0.0,102.597357724364,0.082351048676116
Normal Concrete,0,1,2,8.1025,8.055,3.995,12.5349743227774,21596.262,1722.88,11.8788394397952,56.408,129.184,150.656,304.436,0.0,0.436648501362398,455.092,0.494869200751554,640.684,0.0,0.0,100.969218169972,0.0802472292729874
0% PCC,0,1,2,8.495,8.037,3.999,12.56,22986.6,1829.85,12.6163716271065,41.024,93.952,109.568,221.408,0.0,0.436648501362398,330.976,0.494869200751554,465.952,0.0,0.0,100.945428979536,0.0841543801029578
Normal Concrete,0,1,3,8.088,7.977,3.983,12.4597834442063,17411.811,1396.032,9.62530180907328,56.408,129.184,150.656,304.436,0.0,0.436648501362398,455.092,0.494869200751554,640.684,0.0,0.0,99.391692534434,0.0813750102625321
0% PCC,0,1,3,8.4925,8.104,3.982,12.45,25070.2,2068.24,14.2600128174696,41.024,93.952,109.568,221.408,0.0,0.436648501362398,330.976,0.494869200751554,465.952,0.0,0.0,100.923388868454,0.0841479868563405
Normal Concrete,0,7,1,8.1925,7.968,3.981,12.4472736222597,47736.5,3834.23,26.4360852440367,56.408,129.184,150.656,304.436,0.0,0.436648501362398,455.092,0.494869200751554,640.684,0.0,0.0,99.1798762221657,0.0826024422701292
0% PCC,0,7,1,8.6105,8.098,3.993,12.522,66882.7,5339.32,36.8133154936428,41.024,93.952,109.568,221.408,0.0,0.436648501362398,330.976,0.494869200751554,465.952,0.0,0.0,101.40661224032,0.0849106365923584
Normal Concrete,0,7,2,8.2335,8.004,3.987,12.4848219376555,41318.3,3309.19,22.8160618764951,56.408,129.184,150.656,304.436,0.0,0.436648501362398,455.092,0.494869200751554,640.684,0.0,0.0,99.9285147889942,0.0823938994528798
0% PCC,0,7,2,8.514,8.046,3.948,12.242,65942.3,5384.61,37.1255790513069,41.024,93.952,109.568,221.408,0.0,0.436648501362398,330.976,0.494869200751554,465.952,0.0,0.0,98.4972709201282,0.0864389431348208
Normal Concrete,0,7,3,8.2315,7.976,3.985,12.4722995493382,42539.9,3406.75,23.4887143977075,56.408,129.184,150.656,304.436,0.0,0.436648501362398,455.092,0.494869200751554,640.684,0.0,0.0,99.4790612055218,0.0827460563082102
0% PCC,0,7,3,8.513,8.112,3.972,12.391,67058.6,5410.7,37.305463269003,41.024,93.952,109.568,221.408,0.0,0.436648501362398,330.976,0.494869200751554,465.952,0.0,0.0,100.516255827273,0.0846927686465833
Normal Concrete,0,28,1,8.3934,7.968,3.973,12.393,61875.4,4990.17,34.4060109858393,56.408,129.184,150.656,304.436,0.0,0.436648501362398,455.092,0.494869200751554,640.684,0.0,0.0,98.7816638212891,0.0849692106339181
0% PCC,0,28,1,8.5008,8.06,3.976,12.416,86466.9,6963.56,48.0120560743524,41.024,93.952,109.568,221.408,0.0,0.436648501362398,330.976,0.494869200751554,465.952,0.0,0.0,100.073174044012,0.084945841692414
Normal Concrete,0,28,2,8.9215,7.944,3.989,12.489,55913.3,4474.01,30.8472130630329,56.408,129.184,150.656,304.436,0.0,0.436648501362398,455.092,0.494869200751554,640.684,0.0,0.0,99.2789532391509,0.0898629539184322
0% PCC,0,28,2,8.5092,8.04,3.984,12.466,80662.7,6467.72,44.5933596196788,41.024,93.952,109.568,221.408,0.0,0.436648501362398,330.976,0.494869200751554,465.952,0.0,0.0,100.226967319448,0.0848993063202151
Normal Concrete,0,28,3,8.2585,8.015,3.966,12.352,60385.8,4888.09,33.7021941616761,56.408,129.184,150.656,304.436,0.0,0.436648501362398,455.092,0.494869200751554,640.684,0.0,0.0,99.0145066270485,0.0834069701635413
